timestamp,status,spot_fv,perp_price,fair_value,basis_bps,pos,bid,ask
1773832575.143499,DEGRADED,74003.59956030080251417026769,73957.46,73989.76,-6.235402578823459387584818349,-2.5,74000.26,74004.26
1773832575.64535,DEGRADED,74003.59956030080251417026769,73957.46,73989.76,-6.235088754074494812373581116,-2.4,73999.76,74003.76
1773832576.146283,NORMAL,74005.02147616536194538822758,73957.46,73990.75,-6.427117805349070323792720602,-2.3,74001.25,74003.25
1773832576.646964,NORMAL,74005.65859482491256246957560,73957.46,73991.20,-6.513183609834813642578666346,-2.2,74001.20,74003.20
1773832577.147962,NORMAL,74005.86487987320416321448261,73957.46,73991.34,-6.540998440570822381278536877,-2.1,74000.84,74002.84
1773832577.6495569,NORMAL,74005.86487987320416321448261,73957.46,73991.34,-6.541087710018472553403776341,-2.0,74000.34,74002.34
1773832578.151189,NORMAL,74008.38981627044228579425034,73957.45,73993.11,-6.882834462076275878446179063,-1.9,74001.61,74003.61
1773832578.652878,NORMAL,74008.42076243559454251609170,73957.45,73993.13,-6.886867001639755337899449754,-1.8,74001.13,74003.13
1773832579.153543,NORMAL,74008.36979226191532342460752,73957.44,73993.09,-6.881786569333215078560264293,-1.7,74000.59,74002.59
1773832579.6550841,NORMAL,74008.36979226191532342460752,73957.42,73993.09,-6.884157775580421603426661345,-1.6,74000.09,74002.09
1773832580.156379,NORMAL,74009.39760250873596707948742,73957.44,73993.81,-7.020321818292362962693041610,-1.5,74000.31,74002.31
1773832580.65802,NORMAL,74009.21310747848524187083329,73957.44,73993.68,-6.995171102498851936672426392,-1.4,73999.68,74001.68
1773832581.159002,NORMAL,74009.05297871391744416837579,73957.43,73993.57,-6.975003444997175280050881836,-1.3,73999.07,74001.07
1773832581.660492,NORMAL,74007.61534731345582422212561,73957.42,73992.56,-6.782048224103282318105523844,-1.2,73997.56,73999.56
1773832582.16154,NORMAL,74003.27751034795921664269344,73954.31,73988.59,-6.617180561587548160219208627,-1.1,73993.09,73995.09
1773832582.6629891,NORMAL,74003.22668764366833714456538,73954.31,73988.55,-6.610369413258132320037931019,-1.0,73992.55,73994.55
1773832583.163583,NORMAL,74003.29157103143076994225239,73954.31,73988.60,-6.619255066851788914621893271,-0.9,73992.10,73994.10
1773832583.665204,NORMAL,74003.29157103143076994225239,73943.30,73985.29,-8.106981715599266364248462394,-0.8,73988.29,73990.29
1773832584.1659038,NORMAL,73997.09162090909354953448886,73943.30,73980.95,-7.269911089741151128439555459,-0.7,73983.45,73985.45
1773832584.666783,NORMAL,73997.04209210830215966576790,73943.30,73980.92,-7.263144545294856320065589160,-0.6,73982.92,73984.92
1773832585.167804,NORMAL,73997.06917584379791921513435,73943.27,73980.93,-7.269837392078430682148237141,-0.5,73982.43,73984.43
1773832585.668449,NORMAL,73997.07237165836027950671478,73943.28,73980.94,-7.268880635521589392289292140,-0.4,73981.94,73983.94
1773832586.1698,NORMAL,73998.16066487925042108547351,73947.48,73982.96,-6.848671372618678890054405619,-0.3,73983.46,73985.46
1773832586.671433,NORMAL,73998.15797254174240702137528,73947.48,73982.95,-6.848487198178136748900096011,-0.2,73982.95,73984.95
1773832587.173356,NORMAL,73998.08565420962581976000923,73947.48,73982.90,-6.838677885987531174290872917,-0.1,73982.40,73984.40
1773832587.6749241,NORMAL,73998.09262968464789752987731,73947.50,73982.91,-6.837626483542966600026784586,-0.1,73982.41,73984.41
1773832588.176532,NORMAL,73998.39174018925255364684779,73947.49,73983.12,-6.878649056633707769864326382,-0.1,73982.62,73984.62
1773832588.678097,NORMAL,73998.39535579520122954283426,73947.48,73983.12,-6.881030481301374308416880488,-0.1,73982.62,73984.62
